Number of Drones,Attraction Constant,Repulsion Constant,Mean Final Percentage,Std Final Percentage,Mean Data Length,Std Data Length
5,0,0,0.0,0.0,742.87,79.13
5,0,20,0.17,0.65,761.13,63.29
5,0,40,0.1,0.39,740.73,101.79
5,0,60,0.8,2.19,722.93,88.48
5,0,80,2.0,7.47,731.27,78.31
5,0,100,0.0,0.0,715.67,82.04
5,0,120,2.93,6.11,758.27,90.25
5,0,140,1.93,5.17,737.53,43.36
5,0,160,2.67,5.76,728.27,63.36
5,0,180,2.13,7.09,786.53,65.88
5,0,200,1.5,3.31,775.6,28.9
5,0,220,1.53,3.49,806.13,60.83
5,0,240,2.27,5.44,810.8,71.56
5,0,260,1.17,2.68,816.53,36.96
5,0,280,4.43,8.52,815.93,76.32
5,0,300,4.67,12.62,824.93,67.21
5,0,320,3.97,10.19,804.0,58.54
5,0,340,0.3,0.8,823.47,58.4
5,0,360,1.43,2.67,834.07,69.94
5,0,380,1.5,2.18,851.13,70.28
5,0,400,2.47,3.68,835.33,53.53
5,20,0,2.6,6.91,712.8,93.21
5,20,20,1.27,4.1,730.67,84.93
5,20,40,2.27,5.0,749.67,96.23
5,20,60,3.33,6.61,702.53,71.6
5,20,80,3.17,5.52,666.73,82.05
5,20,100,3.73,6.4,747.8,98.18
5,20,120,3.87,7.37,722.73,78.16
5,20,140,3.3,4.58,730.07,69.65
5,20,160,3.07,5.41,751.6,55.6
5,20,180,9.97,11.27,783.4,56.71
5,20,200,1.47,3.4,756.2,79.01
5,20,220,2.87,6.38,779.47,61.73
5,20,240,3.0,7.4,815.4,66.11
5,20,260,5.9,7.29,791.27,57.88
5,20,280,2.83,5.01,799.93,56.71
5,20,300,5.03,9.37,818.0,69.52
5,20,320,6.2,7.24,816.67,66.05
5,20,340,6.0,8.24,807.6,40.44
5,20,360,2.57,6.06,809.53,59.06
5,20,380,4.7,8.55,824.13,66.38
5,20,400,2.87,4.9,835.67,56.2
5,40,0,12.93,13.12,791.67,97.74
5,40,20,12.27,11.64,773.53,100.34
5,40,40,13.67,15.36,782.0,78.88
5,40,60,11.4,12.58,725.27,76.93
5,40,80,14.43,14.39,753.13,84.0
5,40,100,14.1,14.05,743.33,82.77
5,40,120,12.73,11.7,726.07,86.43
5,40,140,6.67,9.22,778.4,112.11
5,40,160,15.83,14.34,764.47,91.22
5,40,180,14.13,13.31,731.67,55.61
5,40,200,6.73,8.23,773.27,105.41
5,40,220,11.53,10.97,801.53,76.34
5,40,240,10.57,10.62,773.53,75.72
5,40,260,11.37,15.74,774.87,54.9
5,40,280,10.87,9.0,795.07,62.37
5,40,300,10.97,11.87,828.87,59.06
5,40,320,10.37,10.55,819.07,51.2
5,40,340,6.03,6.77,819.2,71.43
5,40,360,8.53,10.04,833.87,78.36
5,40,380,6.27,7.8,845.0,71.79
5,40,400,10.13,9.55,826.4,56.43
5,60,0,22.97,11.47,740.8,54.14
5,60,20,30.57,12.95,759.73,86.59
5,60,40,27.63,14.75,717.07,87.06
5,60,60,29.6,16.36,724.87,84.55
5,60,80,27.4,18.25,761.87,93.72
5,60,100,24.8,15.8,765.13,84.43
5,60,120,28.03,17.29,729.87,72.21
5,60,140,25.73,18.0,743.27,94.54
5,60,160,22.87,18.45,743.27,70.02
5,60,180,19.97,12.82,777.6,118.79
5,60,200,24.4,15.01,754.2,98.87
5,60,220,23.8,16.35,761.8,81.12
5,60,240,19.27,15.11,789.6,68.06
5,60,260,14.3,9.0,808.4,103.56
5,60,280,26.0,16.79,783.27,59.02
5,60,300,16.93,15.4,795.0,83.35
5,60,320,21.93,12.87,781.67,38.19
5,60,340,15.8,11.56,807.0,81.58
5,60,360,12.43,13.24,794.4,72.74
5,60,380,22.23,17.65,849.4,80.38
5,60,400,13.5,15.89,827.07,59.2
5,80,0,24.9,16.93,750.33,83.67
5,80,20,27.63,15.2,784.87,128.25
5,80,40,31.63,15.96,796.4,94.2
5,80,60,33.07,16.61,739.4,113.8
5,80,80,34.2,13.85,744.13,85.72
5,80,100,27.67,18.15,747.4,81.51
5,80,120,23.87,14.84,825.73,101.32
5,80,140,37.23,15.73,782.47,114.82
5,80,160,25.5,15.91,783.0,101.41
5,80,180,31.27,14.98,767.53,108.11
5,80,200,29.37,15.97,784.33,53.26
5,80,220,23.9,13.11,789.33,84.88
5,80,240,24.97,13.53,805.4,50.58
5,80,260,20.7,11.3,784.8,92.31
5,80,280,22.07,15.31,824.87,119.74
5,80,300,25.97,10.47,810.53,107.09
5,80,320,19.3,13.57,839.33,94.24
5,80,340,29.6,17.2,836.73,73.27
5,80,360,20.6,12.61,830.47,94.71
5,80,380,16.03,5.55,827.47,67.06
5,80,400,27.17,13.42,855.0,78.01
5,100,0,31.4,16.23,808.53,115.53
5,100,20,30.4,15.33,749.8,99.37
5,100,40,37.13,12.11,789.2,116.31
5,100,60,32.1,15.57,746.67,82.75
5,100,80,36.07,17.53,809.6,97.94
5,100,100,32.97,16.3,817.87,138.42
5,100,120,26.83,14.77,717.73,94.7
5,100,140,33.53,17.07,744.13,77.13
5,100,160,31.93,14.8,813.2,69.19
5,100,180,31.73,18.45,815.53,92.28
