Number of Drones,Attraction Constant,Repulsion Constant,Mean Final Percentage,Std Final Percentage,Mean Data Length,Std Data Length
25,0,0,4.37,9.38,266.6,3.56
25,0,20,6.53,15.53,271.73,8.08
25,0,40,21.97,24.51,264.0,4.54
25,0,60,18.9,14.24,259.87,3.02
25,0,80,15.53,13.84,261.47,5.93
25,0,100,20.07,12.51,262.33,7.56
25,0,120,17.93,16.18,264.53,6.82
25,0,140,23.27,18.18,261.0,3.74
25,0,160,19.7,16.65,262.33,5.21
25,0,180,18.03,15.09,265.07,5.81
25,0,200,14.67,16.16,262.8,4.9
25,0,220,18.8,18.53,265.2,8.18
25,0,240,19.73,19.1,263.13,4.22
25,0,260,14.67,18.05,261.73,4.32
25,0,280,9.17,13.68,267.07,5.68
25,0,300,10.6,14.21,265.73,7.16
25,0,320,13.83,16.49,265.13,6.55
25,0,340,13.13,18.7,265.8,7.23
25,0,360,12.33,19.09,267.33,6.18
25,0,380,18.8,19.64,267.87,6.29
25,0,400,13.93,17.54,267.93,4.53
25,20,0,5.5,12.61,269.2,2.96
25,20,20,23.4,18.76,271.87,7.02
25,20,40,21.5,13.73,272.0,10.66
25,20,60,26.77,15.64,270.73,6.32
25,20,80,27.03,16.64,266.87,8.93
25,20,100,29.27,16.68,269.27,5.2
25,20,120,23.87,17.16,265.27,8.04
25,20,140,25.37,17.14,266.4,4.42
25,20,160,23.67,19.55,266.2,9.89
25,20,180,27.3,19.81,267.73,9.04
25,20,200,17.33,14.28,270.73,10.19
25,20,220,10.13,11.44,264.2,6.27
25,20,240,19.63,17.91,266.53,7.88
25,20,260,17.4,15.4,269.6,8.69
25,20,280,11.57,9.45,270.6,7.7
25,20,300,18.13,13.87,271.53,10.28
25,20,320,11.23,8.29,268.87,8.24
25,20,340,13.5,14.29,270.33,7.73
25,20,360,5.7,5.67,272.6,9.33
25,20,380,21.2,19.64,269.13,7.23
25,20,400,22.17,20.51,271.13,8.48
25,40,0,29.57,25.45,276.93,14.35
25,40,20,50.07,22.88,287.53,18.59
25,40,40,58.77,18.68,279.67,10.77
25,40,60,48.2,17.44,278.73,11.49
25,40,80,35.67,16.91,272.67,8.35
25,40,100,31.37,18.62,272.8,9.33
25,40,120,26.93,16.57,271.33,9.57
25,40,140,32.9,16.33,276.13,11.53
25,40,160,24.57,15.56,273.27,8.34
25,40,180,23.43,15.59,273.87,7.94
25,40,200,24.13,17.0,273.53,10.88
25,40,220,20.37,12.69,276.53,7.63
25,40,240,21.2,14.45,270.93,7.13
25,40,260,18.73,12.51,272.93,8.43
25,40,280,12.8,13.5,276.73,9.41
25,40,300,14.83,12.35,273.47,8.18
25,40,320,16.27,12.33,273.73,11.11
25,40,340,17.4,18.76,269.2,7.22
25,40,360,15.63,13.97,277.4,10.06
25,40,380,13.3,16.51,275.47,8.51
25,40,400,21.27,18.43,274.0,10.2
25,60,0,51.53,14.56,285.67,11.77
25,60,20,70.6,13.58,288.6,15.11
25,60,40,67.87,20.74,292.47,15.51
25,60,60,59.63,14.49,280.27,9.72
25,60,80,58.07,16.94,279.0,7.92
25,60,100,46.47,18.09,278.47,7.72
25,60,120,42.1,20.59,278.8,7.73
25,60,140,41.1,19.05,276.8,10.81
25,60,160,33.97,19.29,275.6,7.09
25,60,180,36.63,14.92,272.47,8.05
25,60,200,40.87,19.82,277.53,6.99
25,60,220,21.03,16.96,277.73,9.5
25,60,240,22.37,10.98,275.73,7.23
25,60,260,25.67,12.11,278.07,6.86
25,60,280,23.67,16.49,278.27,9.76
25,60,300,16.13,11.78,272.67,5.65
25,60,320,27.47,15.8,276.2,9.01
25,60,340,28.37,24.24,272.0,6.77
25,60,360,26.0,20.7,276.13,8.16
25,60,380,14.93,14.18,278.53,8.88
25,60,400,24.73,11.6,282.8,16.74
25,80,0,58.0,15.06,292.47,12.08
25,80,20,72.53,18.28,296.07,16.49
25,80,40,74.47,12.97,288.2,14.08
25,80,60,80.97,11.85,291.47,11.88
25,80,80,60.97,17.67,282.67,12.6
25,80,100,68.97,18.86,280.73,9.79
25,80,120,56.47,18.0,282.93,22.11
25,80,140,49.07,18.29,280.07,13.56
25,80,160,40.4,13.2,279.67,9.29
25,80,180,44.03,18.32,280.33,9.94
25,80,200,45.53,16.01,275.93,7.54
25,80,220,31.33,14.42,282.0,10.11
25,80,240,32.27,14.79,280.93,24.43
25,80,260,32.3,15.33,279.53,11.38
